,name,latitude_radian,longitude_radian,num_links,links,num_categories,categories,latitude_degrees,longitude_degrees
223685,GRUMENTO NOVA,0.7030768003450489,0.27721646285843266,6,Province of Potenza; National Institute of Statistics (Italy); comune; province of Potenza; Basilicata; Grumentum,1,CITIES AND TOWNS IN BASILICATA,40.283333333333324,15.883333333333333
141065,CENTRAL RESERVE,-0.6613395783892739,2.533557272848414,35,"Victorian Amateur Football Association; Waverley Football Club; Eastern Football League (Australia); not out; Victoria (Australia); Melbourne; Victorian Sub-District Cricket Association; Dandenong Cricket Club; List A cricket; Mazenod Old Collegians; Glenferrie Oval; Victorian Football Association; Australian rules football; Victorian Premier Cricket; Allan Wise; Springvale Road; Monash Tigers; Hawthorn Football Club; Richmond Football Club; Monash University, Clayton campus; ESPNcricinfo; Richmond, Victoria; Sri Lanka national cricket team; Victoria cricket team; Andrew McDonald (cricketer); Shepley Oval; City of Monash; Punt Road Oval; 2005–06 VB Series; Hawthorn-Monash University Cricket Club; Glen Waverley, Victoria; cricket; Glen Waverley Hawks; Michael Klinger; Australia",3,SPORTS VENUES IN MELBOURNE; AUSTRALIAN RULES FOOTBALL GROUNDS; CRICKET GROUNDS IN AUSTRALIA,-37.89196666666666,145.16213888888888
217720,ANGUILLARA SABAZIA,0.7344927268809471,0.2140937215779711,13,Rome-Capranica-Viterbo; central Italy; Roma Ostiense; National Institute of Statistics (Italy); Rome; Everybody Loves Raymond; Metropolitan City of Rome; comune; Saint Blaise; Lazio; Lake Bracciano; Latium; Lake Martignano,1,CITIES AND TOWNS IN LAZIO,42.08333333333334,12.266666666666667
58966,"ST. JOHN'S CHURCH, COPENHAGEN",0.9720077973933196,0.21924729100816545,46,"Fortifications of Copenhagen (17th century); Gothic Revival architecture; crow-stepped gable; Sankt Hans Torv; Danish language; St. Paul's Church, Copenhagen; Battle of Copenhagen (1807); St. Mathew's Church, Copenhagen; altarpiece; Copenhagen; 1861 in Denmark; Royal Danish Academy of Fine Arts; Rome; Copenhagen University Library; UK; Østerbro; University of Copenhagen Faculty of Science; Church of Denmark; Diocese of Copenhagen; Resurrection of Jesus; Michael Gottlieb Bindesbøll; Frøken Kirkemus; Fortifications of Copenhagen (17th century)#Demarcation line; Panum Institute; Brønshøj; Church of Our Lady, Copenhagen; St. Stephen's Church, Copenhagen; Nørrebro; Johan Ludwig Lund; Theodor Sørensen; Hobro Church; University of Copenhagen; St. James's Church, Copenhagen; Frederik VII of Denmark; The Lakes, Copenhagen; Rigshospitalet; Hellerup; Brick; Bernhard Severin Ingemann; Church (building); Denmark; cantata; Blegdamsvej; University of Copenhagen Faculty of Health Sciences; Architecture of Denmark; Emil Hartmann",6,CHURCHES COMPLETED IN 1861; GOTHIC REVIVAL CHURCH BUILDINGS; GOTHIC REVIVAL ARCHITECTURE IN COPENHAGEN; 19TH-CENTURY LUTHERAN CHURCHES; CHURCHES IN COPENHAGEN; 1861 ESTABLISHMENTS IN DENMARK,55.69194444444443,12.561944444444444
412240,LASHGAR KUH,0.5813497812920667,0.911823027020382,13,Central District (Ardestan County); Romanize; Ardestan County; List of countries; Counties of Iran; Iran Daylight Time; Hombarat Rural District; Iran Standard Time; Provinces of Iran; Rural Districts of Iran; Iran; Bakhsh; Isfahan Province,1,POPULATED PLACES IN ARDESTAN COUNTY,33.30888888888889,52.243611111111115
389591,"HESAR, NORTH KHORASAN",0.6588181593965596,1.0065459240355632,13,Qushkhaneh District; Romanize; List of countries; Counties of Iran; Iran Daylight Time; Qushkhaneh-ye Bala Rural District; Iran Standard Time; Provinces of Iran; Rural Districts of Iran; Iran; Shirvan County; North Khorasan Province; Bakhsh,1,POPULATED PLACES IN SHIRVAN COUNTY,37.7475,57.67083333333334
208363,"GOOSE LAKE TOWNSHIP, GRUNDY COUNTY, ILLINOIS",0.7217809121622552,-1.5413148068466256,24,"Illinois River; Channahon Township, Will County, Illinois; Mazon Township, Grundy County, Illinois; List of sovereign states; United States; Channahon, Illinois; Civil township; Felix Township, Grundy County, Illinois; Morris Township, Grundy County, Illinois; Wauponsee Township, Grundy County, Illinois; Grundy County, Illinois; Mazon River; List of counties in Illinois; U.S. state; Aux Sable Township, Grundy County, Illinois; Wilmington Township, Will County, Illinois; Illinois; Maine Township, Grundy County, Illinois; North American Central Time Zone; Federal Information Processing Standards; Kankakee River; 2010 United States Census; Divine, Illinois; Illinois' 11th congressional district",3,"1897 ESTABLISHMENTS IN ILLINOIS; TOWNSHIPS IN ILLINOIS; TOWNSHIPS IN GRUNDY COUNTY, ILLINOIS",41.35500000000001,-88.31083333333333
282943,HASANPUR BARU,0.476474885794452,1.3622294811815738,19,"States and territories of India; Baljit Garhi; Aligarh, Uttar Pradesh; Mathura; Braj; Postal Index Number; Sadabad, India; Agra; Hathras; Uttar Pradesh; List of districts of India; Hindi language; India; 2011 census of India; nagar panchayat; Narayanpur Bad; Indian Standard Time; Hathras district; List of RTO districts in India#UP.E2.80.94Uttar_Pradesh",2,VILLAGES IN HATHRAS DISTRICT; CITIES AND TOWNS IN HATHRAS DISTRICT,27.300000000000004,78.04999999999998
183983,"HUCISKO, SUCHA COUNTY",0.8672589534527932,0.3387393189912328,12,Powiat; Sucha County; Sucha Beskidzka; Poland; Voivodeships of Poland; Gmina Stryszawa; Stryszawa; Kraków; village; Gmina; Countries of the world; Lesser Poland Voivodeship,1,VILLAGES IN SUCHA COUNTY,49.690277777777766,19.40833333333333
228781,"GRANTHAM, NEW HAMPSHIRE",0.7590291472819007,-1.2590368891574095,40,"Eastern Standard Time Zone; List of sovereign states; New Hampshire Route 10; Board of Selectmen; African American (U.S. Census); Native American (U.S. Census); U.S. state; population density; Latino (U.S. Census); List of counties in New Hampshire; Town; Thomas Robinson, 1st Baron Grantham; Sullivan County, New Hampshire; Springfield, New Hampshire; Geographic Names Information System; Secretary of State for the Southern Department; Marriage; Plainfield, New Hampshire; Croydon, New Hampshire; Federal Information Processing Standard; New England town; Enfield, New Hampshire; ZIP code; United States Census Bureau; White (U.S. Census); Asian (U.S. Census); Race (United States Census); poverty line; United Methodist Church; Hispanic (U.S. Census); New Hampshire; census; Drainage basin; per capita income; Eastman Pond; 2010 United States Census; Eastern Daylight Time Zone; Area code 603; sea level; Connecticut River",2,"TOWNS IN SULLIVAN COUNTY, NEW HAMPSHIRE; TOWNS IN NEW HAMPSHIRE",43.48916666666668,-72.1375
